text,length,frequency,tfidf,is_entity,score
Komatsu said,2,6,0.0,0,0.927
Komatsu said,2,6,0.0,0,0.927
Komatsu said,2,6,0.0,0,0.927
Komatsu said,2,6,0.0,0,0.927
Komatsu said,2,6,0.0,0,0.927
Komatsu said,2,6,0.0,0,0.927
the exchange,2,5,0.0,0,0.805
the exchange,2,5,0.0,0,0.805
the exchange,2,5,0.0,0,0.805
the exchange,2,5,0.0,0,0.805
the exchange,2,5,0.0,0,0.805
Heiwa Sogo,2,3,0.0,1,0.783
South Korea,2,3,0.0,1,0.783
South Korea,2,3,0.0,1,0.783
Heiwa Sogo,2,3,0.0,1,0.783
Heiwa Sogo,2,3,0.0,1,0.783
South Korea,2,3,0.0,1,0.783
"leading Japanese electronics firm Matsushita Electric
  Industrial Co Ltd",9,1,0.0,0,0.638
officials said,2,4,0.0,0,0.572
officials said,2,4,0.0,0,0.572
they said,2,4,0.0,0,0.572
they said,2,4,0.0,0,0.572
they said,2,4,0.0,0,0.572
they said,2,4,0.0,0,0.572
He said,2,4,0.0,0,0.572
It said,2,4,0.0,0,0.572
It said,2,4,0.0,0,0.572
It said,2,4,0.0,0,0.572
He said,2,4,0.0,0,0.572
officials said,2,4,0.0,0,0.572
officials said,2,4,0.0,0,0.572
He said,2,4,0.0,0,0.572
He said,2,4,0.0,0,0.572
It said,2,4,0.0,0,0.572
other businessmen,2,1,0.7456691391759337,0,0.54
Hong Kong,2,2,0.0,1,0.539
Hong Kong,2,2,0.0,1,0.539
two or three years,4,1,0.0,1,0.519
the Business Economics Department,4,1,0.0,1,0.519
the Heiwa Sogo Bank,4,1,0.0,1,0.519
The Indonesian Commodity Exchange,4,1,0.0,1,0.519
the Federal Reserve Board,4,1,0.0,1,0.519
"Meiko Securities Co
  Ltd",4,1,0.0,1,0.519
"American
  investment bank Goldman, Sachs and Co.
      Sumitomo",8,1,0.0,0,0.511
"Prime Minister
  Yasuhiro Nakasone's avowed fiscal reform program",8,1,0.0,0,0.511
"a local W.R. Grace and Co &lt;GRA>
  unit",8,1,0.0,0,0.511
the rise,2,1,0.6663163924747927,0,0.454
"the Arbitration
  Commission",3,1,0.0,1,0.39
1.575 mln tonnes,3,1,0.0,1,0.39
the China Daily,3,1,0.0,1,0.39
Banca del Gottardo,3,1,0.0,1,0.39
The Finance Ministry,3,1,0.0,1,0.39
"7.1 billion
  dlrs",3,1,0.0,1,0.39
"the
  first quarter",3,1,0.0,1,0.39
the Northern Territory,3,1,0.0,1,0.39
its first year,3,1,0.0,1,0.39
New South Wales,3,1,0.0,1,0.39
65.1 billion baht,3,1,0.0,1,0.39
a few months,3,1,0.0,1,0.39
the next decade,3,1,0.0,1,0.39
the 21st century,3,1,0.0,1,0.39
the Adelaide River,3,1,0.0,1,0.39
"about 750,000 tonnes",3,1,0.0,1,0.39
the first half,3,1,0.0,1,0.39
"about 50,000 ounces",3,1,0.0,1,0.39
"Kleinwort Benson Ltd
  financial analyst Simon Smithson",7,1,0.0,0,0.383
palm oil,2,3,0.0,0,0.303
palm oil,2,3,0.0,0,0.303
official said,2,3,0.0,0,0.303
They said,2,3,0.0,0,0.303
Nainggolan said,2,3,0.0,0,0.303
he said,2,3,0.0,0,0.303
Nainggolan said,2,3,0.0,0,0.303
Nainggolan said,2,3,0.0,0,0.303
They said,2,3,0.0,0,0.303
he said,2,3,0.0,0,0.303
official said,2,3,0.0,0,0.303
he said,2,3,0.0,0,0.303
official said,2,3,0.0,0,0.303
palm oil,2,3,0.0,0,0.303
They said,2,3,0.0,0,0.303
CHINA DAILY,2,1,0.0,1,0.275
"Tom
  Murtha",2,1,0.0,1,0.275
Hasrul Harahap,2,1,0.0,1,0.275
"530,500
  tonnes",2,1,0.0,1,0.275
U.S. Products,2,1,0.0,1,0.275
"52,500 tonnes",2,1,0.0,1,0.275
"Mt.
  Bundey",2,1,0.0,1,0.275
"9,595 tonnes",2,1,0.0,1,0.275
Port Kembla,2,1,0.0,1,0.275
"three
  years",2,1,0.0,1,0.275
"Makoto
  Kuroda",2,1,0.0,1,0.275
U.S. Regulations,2,1,0.0,1,0.275
Labour Council,2,1,0.0,1,0.275
"the
  Fed",2,1,0.0,1,0.275
Lawrence Mills,2,1,0.0,1,0.275
Paul Sheen,2,1,0.0,1,0.275
Western Australia,2,1,0.0,1,0.275
"tin 26
  pct and canned pineapples",6,1,0.0,0,0.269
"a new joint venture gold
  mine",6,1,0.0,0,0.269
SUMITOMO BANK AIMS AT QUICK RECOVERY,6,1,0.0,0,0.269
the securities business,3,2,0.0,0,0.192
the securities business,3,2,0.0,0,0.192
"WHEAT PRICE
  Food Department officials",5,1,0.0,0,0.18
TO REVISE LONG-TERM ENERGY DEMAND,5,1,0.0,0,0.18
"15.6 billion dlrs last
  year",5,1,0.0,0,0.18
the state's workers' compensation laws,5,1,0.0,0,0.18
"a revised energy supply/demand
  outlook",5,1,0.0,0,0.18
between 450 and 550 dlrs,5,1,0.0,0,0.18
"a senior
  Taiwanese trade official",5,1,0.0,0,0.18
the world's second largest producer,5,1,0.0,0,0.18
Hong Kong's biggest export market,5,1,0.0,0,0.18
"U.S.-JAPAN RIFT
  Mounting trade friction",5,1,0.0,0,0.18
the smaller bank's large debts,5,1,0.0,0,0.18
"South Korea's trade promotion
  association",5,1,0.0,0,0.18
a less than 50 pct,5,1,0.0,0,0.18
"such
  a short-term commercial advantage",5,1,0.0,0,0.18
"its Swiss universal bank
  subsidiary",5,1,0.0,0,0.18
The country's oil import bill,5,1,0.0,0,0.18
"the
  world's second largest producer",5,1,0.0,0,0.18
an estimated 1.29 billion dlrs,5,1,0.0,0,0.18
"a 12.5
  pct limited partnership",5,1,0.0,0,0.18
"its long-term energy supply/demand
  outlook",5,1,0.0,0,0.18
at least one new commodity,5,1,0.0,0,0.18
"the Continental Grain Co
  sale",5,1,0.0,0,0.18
"a conventional leach
  treatment plant",5,1,0.0,0,0.18
traders said,2,2,0.0,0,0.124
Reuters told,2,2,0.0,0,0.124
analysts said,2,2,0.0,0,0.124
The analysts,2,2,0.0,0,0.124
Smithson said,2,2,0.0,0,0.124
we want,2,2,0.0,0,0.124
Harahap said,2,2,0.0,0,0.124
Harahap said,2,2,0.0,0,0.124
surplus had,2,2,0.0,0,0.124
the merger,2,2,0.0,0,0.124
The analysts,2,2,0.0,0,0.124
The paper,2,2,0.0,0,0.124
the bank,2,2,0.0,0,0.124
The paper,2,2,0.0,0,0.124
sources said,2,2,0.0,0,0.124
the start,2,2,0.0,0,0.124
sources said,2,2,0.0,0,0.124
financial analysts,2,2,0.0,0,0.124
the merger,2,2,0.0,0,0.124
the start,2,2,0.0,0,0.124
businessmen said,2,2,0.0,0,0.124
the bank,2,2,0.0,0,0.124
Button said,2,2,0.0,0,0.124
businessmen said,2,2,0.0,0,0.124
Button said,2,2,0.0,0,0.124
financial analysts,2,2,0.0,0,0.124
WMC said,2,2,0.0,0,0.124
WMC said,2,2,0.0,0,0.124
Reuters told,2,2,0.0,0,0.124
surplus had,2,2,0.0,0,0.124
traders said,2,2,0.0,0,0.124
We want,2,2,0.0,0,0.124
we want,2,2,0.0,0,0.124
the tariffs,2,2,0.0,0,0.124
analysts said,2,2,0.0,0,0.124
We want,2,2,0.0,0,0.124
Smithson said,2,2,0.0,0,0.124
the tariffs,2,2,0.0,0,0.124
