Text,POS,Lemma,Dependency,Pipeline,Starts with 'c'
The,DET,the,det,default,
cat,NOUN,cat,nsubj,default,
sleeps,VERB,sleep,ROOT,default,
quietly,ADV,quietly,advmod,default,
in,ADP,in,prep,default,
the,DET,the,det,default,
room,NOUN,room,pobj,default,
.,PUNCT,.,punct,default,
Dogs,NOUN,dog,compound,default,
chase,NOUN,chase,compound,default,
cats,NOUN,cat,ROOT,default,
in,ADP,in,prep,default,
the,DET,the,det,default,
park,NOUN,park,pobj,default,
daily,ADV,daily,advmod,default,
.,PUNCT,.,punct,default,
I,PRON,I,nsubj,default,
love,VERB,love,ROOT,default,
coding,VERB,code,xcomp,default,
and,CCONJ,and,cc,default,
creating,VERB,create,conj,default,
new,ADJ,new,amod,default,
tools,NOUN,tool,dobj,default,
.,PUNCT,.,punct,default,
The,DET,the,det,custom,False
cat,NOUN,cat,nsubj,custom,True
sleeps,VERB,sleep,ROOT,custom,False
quietly,ADV,quietly,advmod,custom,False
in,ADP,in,prep,custom,False
the,DET,the,det,custom,False
room,NOUN,room,pobj,custom,False
.,PUNCT,.,punct,custom,False
Dogs,NOUN,dog,compound,custom,False
chase,NOUN,chase,compound,custom,True
cats,NOUN,cat,ROOT,custom,True
in,ADP,in,prep,custom,False
the,DET,the,det,custom,False
park,NOUN,park,pobj,custom,False
daily,ADV,daily,advmod,custom,False
.,PUNCT,.,punct,custom,False
I,PRON,I,nsubj,custom,False
love,VERB,love,ROOT,custom,False
coding,VERB,code,xcomp,custom,True
and,CCONJ,and,cc,custom,False
creating,VERB,create,conj,custom,True
new,ADJ,new,amod,custom,False
tools,NOUN,tool,dobj,custom,False
.,PUNCT,.,punct,custom,False
